1646038706540|14|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             billOrder         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             billOrder         WHERE             id = 1
1646038921654|23|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = 1
1646038981293|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = 1
1646039013876|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = 1
1646039015939|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = 1
1646039046732|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = 1
1646039055631|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = 1
1646039973757|20|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = 1
1646042049646|1|statement|connection 1|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = 1
1646042061268|1|statement|connection 1|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = 1
1646226441440|18|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/new_study?serverTimezone=UTC&useUnicode=true&characterEncoding=UTF-8&useSSL=false|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = ?|SELECT                       id, person_name, id_number, pay_amt, create_by, create_time, update_by, update_time, status, deleted               FROM             bill_order         WHERE             id = 2
